"Area.Name","Year","0","1","2","3","4","5","6","7","8","9"
"Topanga","2014",1810,773,320,889,2,15,16,10,4561,335
"Topanga","2015",1990,769,409,1146,4,21,12,11,5060,415
"Van Nuys","2010",2158,1038,408,1004,6,18,22,3,4907,486
"Van Nuys","2011",2087,1045,383,972,5,10,24,5,4457,503
"Van Nuys","2012",2077,977,344,1083,5,27,22,8,4573,489
"Van Nuys","2013",1968,878,323,1079,4,12,12,4,4661,391
"Van Nuys","2014",2204,920,361,999,7,21,15,11,4388,477
"Van Nuys","2015",2376,1021,390,1172,8,30,18,9,4917,479
"West LA","2010",1290,795,443,898,3,6,8,4,4426,281
"West LA","2011",1220,773,390,925,2,5,8,3,4981,279
"West LA","2012",1294,815,404,1091,3,4,6,9,4715,228
"West LA","2013",1316,719,332,909,3,10,4,10,4581,254
"West LA","2014",1331,750,345,920,4,10,3,4,4501,283
"West LA","2015",1680,830,462,1185,2,30,10,5,5108,335
"West Valley","2010",1965,888,481,920,3,5,18,5,4471,464
"West Valley","2011",1793,875,400,983,5,4,16,7,4265,463
"West Valley","2012",1804,953,424,1014,4,5,17,22,4372,362
"West Valley","2013",1699,813,375,976,4,9,28,12,4005,430
"West Valley","2014",1678,724,319,888,4,6,15,35,3813,391
"West Valley","2015",1682,805,303,1033,5,23,9,16,4313,429
"Wilshire","2010",1668,782,287,764,5,5,11,0,4296,341
"Wilshire","2011",1610,766,278,818,5,4,9,0,4455,309
"Wilshire","2012",1639,683,270,766,9,6,15,2,4278,354
"Wilshire","2013",1518,626,182,758,6,5,8,6,4377,311
"Wilshire","2014",1657,714,229,736,8,6,14,7,4211,299
"Wilshire","2015",1654,756,213,804,4,18,12,8,4493,300
